iter	Passed	Remaining
405	6672	75503
406	6688	75477
407	6705	75469
408	6720	75433
409	6735	75400
410	6749	75356
411	6763	75315
412	6775	75255
413	6789	75208
414	6804	75172
415	6818	75135
416	6831	75076
417	6844	75023
418	6858	74981
419	6872	74948
420	6887	74914
421	6902	74885
422	6915	74833
423	6928	74772
424	6941	74725
425	6956	74695
426	6971	74659
427	6986	74626
428	7000	74585
429	7015	74561
430	7030	74534
431	7044	74492
432	7059	74462
433	7072	74404
434	7085	74360
435	7101	74337
436	7116	74305
437	7131	74283
438	7144	74229
439	7160	74210
440	7172	74149
441	7188	74125
442	7201	74075
443	7216	74051
444	7230	74014
445	7244	73975
446	7258	73934
447	7272	73897
448	7287	73868
449	7296	73778
450	7311	73751
451	7326	73716
452	7340	73679
453	7355	73648
454	7368	73607
455	7383	73577
456	7399	73557
457	7412	73510
458	7427	73479
459	7440	73430
460	7454	73392
461	7467	73349
462	7480	73303
463	7498	73300
464	7511	73255
465	7524	73214
466	7538	73172
467	7551	73128
468	7563	73073
469	7577	73033
470	7591	72994
471	7605	72960
472	7619	72928
473	7632	72876
474	7647	72849
475	7661	72815
476	7675	72777
477	7688	72739
478	7707	72748
479	7723	72732
480	7746	72779
481	7762	72761
482	7778	72744
483	7792	72709
484	7808	72690
485	7822	72659
486	7836	72616
487	7850	72582
488	7865	72554
489	7878	72516
490	7894	72495
491	7908	72460
492	7922	72424
493	7935	72387
494	7950	72355
495	7964	72326
496	7979	72300
497	7994	72275
498	8008	72239
499	8022	72204
500	8037	72177
501	8049	72127
502	8064	72102
503	8079	72071
504	8094	72048
505	8108	72017
506	8122	71978
507	8135	71935
508	8151	71924
509	8163	71874
510	8180	71859
511	8194	71832
512	8207	71791
513	8221	71751
514	8234	71710
515	8248	71675
516	8261	71638
517	8276	71608
518	8291	71591
519	8308	71582
520	8330	71621
521	8344	71581
522	8357	71540
523	8370	71502
524	8384	71466
525	8397	71423
526	8411	71392
527	8424	71352
528	8437	71312
529	8449	71258
530	8461	71212
531	8475	71181
532	8489	71146
533	8501	71098
534	8515	71066
535	8527	71019
536	8540	70980
537	8552	70932
538	8566	70898
539	8581	70874
540	8596	70854
541	8610	70822
542	8623	70783
543	8637	70750
544	8650	70709
545	8663	70669
546	8678	70646
547	8692	70615
548	8708	70607
549	8721	70566
550	8736	70540
551	8750	70509
552	8763	70472
553	8777	70439
554	8793	70425
555	8807	70394
556	8822	70372
557	8835	70334
558	8850	70312
559	8864	70284
560	8879	70258
561	8895	70243
562	8909	70218
563	8924	70192
564	8938	70166
565	8952	70136
566	8967	70109
567	8979	70068
568	8994	70042
569	9008	70013
570	9023	69993
571	9038	69965
572	9051	69932
573	9065	69902
574	9080	69879
575	9095	69859
576	9109	69825
577	9122	69794
578	9137	69771
579	9151	69742
580	9165	69711
581	9177	69669
582	9193	69649
583	9207	69620
584	9220	69589
585	9234	69557
586	9248	69529
587	9264	69513
588	9278	69484
589	9294	69471
590	9312	69472
591	9326	69444
592	9343	69435
593	9357	69406
594	9371	69381
595	9384	69347
596	9401	69339
597	9415	69309
598	9428	69270
599	9440	69227
600	9452	69186
601	9466	69158
602	9481	69140
603	9494	69105
604	9510	69088
605	9526	69071
606	9539	69036
607	9550	68992
608	9565	68970
609	9577	68927
610	9590	68892
611	9603	68860
